Postcode_District,Year,Measure,Value
KT5,1996,Median,86322
KT6,1996,Median,80468
KT8,1996,Median,110281
KT9,1996,Median,73524
N1,1996,Median,112483
N10,1996,Median,101057
N11,1996,Median,68756
N12,1996,Median,89141
N13,1996,Median,76415
N14,1996,Median,98686
N15,1996,Median,52267
N16,1996,Median,73201
N17,1996,Median,49326
N18,1996,Median,51757
N19,1996,Median,89834
N1C,1996,Median,N/A
N2,1996,Median,93817
N20,1996,Median,109131
N21,1996,Median,106026
N22,1996,Median,65075
N3,1996,Median,99685
N4,1996,Median,73286
N5,1996,Median,110113
N6,1996,Median,153335
N7,1996,Median,82753
N8,1996,Median,90832
N9,1996,Median,53924
NW1,1996,Median,128313
NW10,1996,Median,62942
NW11,1996,Median,125814
NW2,1996,Median,81463
NW3,1996,Median,163935
NW4,1996,Median,88603
NW5,1996,Median,110743
NW6,1996,Median,105035
NW7,1996,Median,94909
NW8,1996,Median,154978
NW9,1996,Median,66711
RM1,1996,Median,69227
RM10,1996,Median,44398
RM11,1996,Median,91907
RM12,1996,Median,68824
RM13,1996,Median,57774
RM14,1996,Median,93609
RM2,1996,Median,90568
RM3,1996,Median,56436
RM4,1996,Median,127846
RM5,1996,Median,67073
RM6,1996,Median,58110
RM7,1996,Median,58833
RM8,1996,Median,47750
RM9,1996,Median,43949
SE1,1996,Median,118821
SE10,1996,Median,90100
SE11,1996,Median,80353
SE12,1996,Median,62307
SE13,1996,Median,56754
SE14,1996,Median,46442
SE15,1996,Median,50915
SE16,1996,Median,79085
SE17,1996,Median,57547
SE18,1996,Median,47451
SE19,1996,Median,50212
SE2,1996,Median,47880
SE20,1996,Median,46985
SE21,1996,Median,100792
SE22,1996,Median,61500
SE23,1996,Median,57486
SE24,1996,Median,77315
SE25,1996,Median,47853
SE26,1996,Median,57256
SE27,1996,Median,59964
SE28,1996,Median,44900
SE3,1996,Median,92879
SE4,1996,Median,55647
SE5,1996,Median,61483
SE6,1996,Median,54806
SE7,1996,Median,62025
SE8,1996,Median,45244
SE9,1996,Median,68999
SM1,1996,Median,65718
SM2,1996,Median,77734
SM3,1996,Median,79889
SM4,1996,Median,70434
SM5,1996,Median,70124
SM6,1996,Median,66592
SM7,1996,Median,112120
SW10,1996,Median,192255
SW11,1996,Median,113342
SW12,1996,Median,99211
SW13,1996,Median,188337
SW14,1996,Median,145414
SW15,1996,Median,109445
SW16,1996,Median,63975
SW17,1996,Median,78122
SW18,1996,Median,96210
SW19,1996,Median,100352
SW1A,1996,Median,267357
SW1E,1996,Median,139709
SW1H,1996,Median,96805
SW1P,1996,Median,137114
SW1V,1996,Median,126367
SW1W,1996,Median,255331
SW1X,1996,Median,318504
SW1Y,1996,Median,150329
SW2,1996,Median,60081
SW20,1996,Median,93250
SW3,1996,Median,232819
SW4,1996,Median,100279
SW5,1996,Median,159192
SW6,1996,Median,144957
SW7,1996,Median,259414
SW8,1996,Median,78437
SW9,1996,Median,70454
TN14,1996,Median,109137
TN16,1996,Median,92693
TW1,1996,Median,128532
TW10,1996,Median,137621
TW11,1996,Median,108288
TW12,1996,Median,105407
TW13,1996,Median,58341
TW14,1996,Median,57044
TW2,1996,Median,98702
TW3,1996,Median,66913
TW4,1996,Median,61349
TW5,1996,Median,71897
TW7,1996,Median,80320
TW8,1996,Median,70314
TW9,1996,Median,136509
UB1,1996,Median,55523
UB10,1996,Median,85590
UB2,1996,Median,58928
UB3,1996,Median,55991
UB4,1996,Median,60373
